team,rating,confederation
Spain,2165,UEFA
Argentina,2113,CONMEBOL
France,2081,UEFA
England,2020,UEFA
Brazil,1984,CONMEBOL
Portugal,1984,UEFA
Colombia,1975,CONMEBOL
Netherlands,1961,UEFA
Ecuador,1933,CONMEBOL
Croatia,1930,UEFA
Germany,1923,UEFA
Norway,1912,UEFA
Japan,1904,AFC
Turkey,1902,UEFA
Uruguay,1892,CONMEBOL
Switzerland,1889,UEFA
Senegal,1878,CAF
Belgium,1867,UEFA
Mexico,1860,CONCACAF
Paraguay,1833,CONMEBOL
Austria,1827,UEFA
Morocco,1822,CAF
Canada,1784,CONCACAF
Australia,1783,AFC
Scotland,1767,UEFA
Iran,1760,AFC
South Korea,1752,AFC
Algeria,1743,CAF
Panama,1737,CONCACAF
Uzbekistan,1727,AFC
Czech Republic,1726,UEFA
United States,1721,CONCACAF
Sweden,1719,UEFA
Jordan,1690,AFC
Egypt,1689,CAF
Ivory Coast,1676,CAF
DR Congo,1655,CAF
Tunisia,1636,CAF
Iraq,1607,AFC
Bosnia and Herzegovina,1594,UEFA
New Zealand,1585,OFC
Saudi Arabia,1568,AFC
Cape Verde,1549,CAF
Haiti,1532,CONCACAF
South Africa,1524,CAF
Ghana,1503,CAF
Curacao,1436,CONCACAF
Qatar,1425,AFC
