team,p_win_smoothed
Algeria,0.5
Argentina,0.75
Australia,0.5
Austria,0.5
Belgium,0.5
Bosnia and Herzegovina,0.5
Brazil,0.5
Canada,0.5
Cape Verde,0.5
Colombia,0.5
Croatia,0.75
Curacao,0.5
Czech Republic,0.5
DR Congo,0.5
Ecuador,0.5
Egypt,0.5
England,0.36
France,0.5
Germany,0.79
Ghana,0.5
Haiti,0.5
Iran,0.5
Iraq,0.5
Ivory Coast,0.5
Japan,0.33
Jordan,0.5
Mexico,0.33
Morocco,0.57
Netherlands,0.5
New Zealand,0.5
Norway,0.5
Panama,0.5
Paraguay,0.5
Portugal,0.67
Qatar,0.5
Saudi Arabia,0.5
Scotland,0.5
Senegal,0.5
South Africa,0.5
South Korea,0.5
Spain,0.36
Sweden,0.5
Switzerland,0.5
Tunisia,0.5
Turkey,0.5
United States,0.5
Uruguay,0.5
Uzbekistan,0.5
